PERIOD_BEGIN	PERIOD_END	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED
2016-04-01	2016-06-30	90	zip code	2	18517	false	Zip Code: 44126		Ohio	OH	All Residential	-1	148200	0.01160409556	0.04661016949	156900	0.04634878293	0.08206896552	102.834302326	0.1046108897	0.1070951527	101.84521975	-0.00393352842	0.02618894512	90	0.1392405063	0.3235294118	106	0.03921568627	0.1276595745	103	0.009803921569	0.0618556701	75	0.1194029851	-0.2021276596	NA	NA	NA	50	2	-5.5	0.9881070001	0.002106347646	0.02748614159	0.2555555556	0.002390998594	0.06437908497	NA	NA	NA	0.5	-0.009803921569	0.1382978723	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2022-11-01	2023-01-31	90	zip code	2	18499	false	Zip Code: 44108		Ohio	OH	All Residential	-1	70000	0	-0.03780068729	66500	0	0.0007524454477	33.726063997	0.02902659639	-0.1510978646	37.161343253	0.02129901655	-0.05439554581	47	-0.1754385965	0.175	77	-0.0253164557	0.06944444444	84	-0.125	0.03703703704	99	-0.05714285714	0.1379310345	NA	NA	NA	71	22.5	16.5	0.9492230851	0.02276421091	0.01148991189	0.170212766	-0.005225830534	0.09521276596	NA	NA	NA	0.3116883117	-0.04274206806	-0.0772005772	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2017-07-01	2017-09-30	90	zip code	2	18502	false	Zip Code: 44111		Ohio	OH	All Residential	-1	88000	-0.06829010058	0.2941176471	84900	0.06192033721	0.1511864407	74.29029304	-0.009805855853	0.354237017	66.013538917	0.05862441133	0.1899509429	167	0.006024096386	0.4152542373	182	-0.01086956522	0.2638888889	191	-0.1278538813	0.2565789474	159	0	0.06711409396	NA	NA	NA	42	1	-7	0.9785494278	8.36104509e-05	-0.003141048741	0.3353293413	0.0100281365	0.09804120572	NA	NA	NA	0.467032967	0.02681557573	0.2031440781	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2016-05-01	2016-07-31	90	zip code	2	18506	false	Zip Code: 44115		Ohio	OH	All Residential	-1	169950	0.477826087	0.2182795699	109900	-0.1200960769	-0.3232758621	121.776475966	0.6060623699	-0.3097383292	80.571847507	-0.03304620679	-0.5695697363	6	0.5	0.5	6	0.2	1	10	0	0.25	14	0.07692307692	0.75	NA	NA	NA	30	-9.5	-4.5	0.9728932926	-0.001161184274	-0.08194185095	0.3333333333	-0.1666666667	-0.1666666667	NA	NA	NA	0.3333333333	-0.4666666667	-0.3333333333	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2020-08-01	2020-10-31	90	zip code	2	18497	false	Zip Code: 44106		Ohio	OH	All Residential	-1	275000	0.2359550562	0.5320334262	246500	-0.04085603113	-0.02337559429	116.263818818	0.07228235994	0.1484596737	118.109628679	-0.01908666123	0.1995381423	56	-0.09677419355	0.4736842105	57	0.01785714286	0.2666666667	48	-0.07692307692	-0.07692307692	58	-0.1714285714	-0.2054794521	NA	NA	NA	58	3	1	0.9667626083	0.0123719561	0.00773844494	0.1785714286	0.01728110599	-0.05827067669	NA	NA	NA	0.2631578947	0.03101503759	-0.00350877193	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2015-06-01	2015-08-31	90	zip code	2	18536	false	Zip Code: 44145		Ohio	OH	All Residential	-1	213550	-0.1283673469	-0.09704016913	229000	0	0.1455727864	106.844280701	-0.006099714412	-0.01968028198	111.014405762	-0.02029359717	0.01896608173	168	-0.01754385965	0.12	181	-0.0320855615	0.2066666667	175	-0.154589372	0.01156069364	199	-0.05238095238	-0.1708333333	NA	NA	NA	53	0	-32	0.9652038389	-0.003550186403	0.0009818757167	0.1130952381	0.01368003342	0.0130952381	NA	NA	NA	0.2651933702	-0.08240021272	0.2518600368	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2024-04-01	2024-06-30	90	zip code	2	18538	false	Zip Code: 44147		Ohio	OH	All Residential	-1	325000	-0.05797101449	0.08695652174	299900	-0.0001666944491	-0.09093664747	185.857613293	0.005074666062	0.0714905757	179.934475806	-0.01576169086	0.03128159562	58	0.1836734694	-0.09375	73	0.140625	-0.01351351351	75	0.05633802817	-0.08536585366	30	-0.09090909091	0.07142857143	NA	NA	NA	8.5	-4.5	3	1.007971605	-0.0002849341673	-0.007074251067	0.4827586207	-0.007037297678	-0.1266163793	NA	NA	NA	0.7397260274	0.005351027397	-0.0575712699	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2012-01-01	2012-03-31	90	zip code	2	18507	false	Zip Code: 44116		Ohio	OH	All Residential	-1	156000	0.0297029703	0.1908396947	199900	0.03844155844	0.1111728738	93.799682035	-0.005516037446	0.01684292989	119.698713544	-0.01437021631	0.1509212669	61	0.3863636364	0.7941176471	61	0.3863636364	0.8484848485	124	0.3191489362	0.05982905983	220	0.06280193237	-0.01785714286	NA	NA	NA	135	3.5	-23	0.9276378834	0.004641774816	-0.001461206593	0.06557377049	0.04284649776	0.03616200579	NA	NA	NA	0	0	0	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2015-10-01	2015-12-31	90	zip code	2	18524	false	Zip Code: 44133		Ohio	OH	All Residential	-1	145000	-0.06451612903	0.05839416058	165000	0.01600985222	0.01289134438	89.864376441	-0.01211161346	0.003361830702	92.306454256	-0.02117646192	-0.04974701091	89	0.02298850575	0.4126984127	105	-0.01869158879	0.6666666667	72	-0.2173913043	0.2413793103	119	-0.2013422819	-0.2222222222	NA	NA	NA	109	20	7	0.9500345272	-0.00808166036	0.0005405191313	0.06741573034	-0.001549786904	-0.04369538077	NA	NA	NA	0.1333333333	0.01183800623	0.1333333333	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-11-01	2026-01-31	90	zip code	2	18528	false	Zip Code: 44137		Ohio	OH	All Residential	-1	137000	-0.01438848921	0.04580152672	156600	0.04469646431	0.2528	117.788461538	-0.04086538462	0.0564995596	125.420875421	0.01698189249	0.1462033135	63	-0.1126760563	-0.16	80	0.05263157895	-0.1111111111	89	0.1265822785	0.2535211268	70	0.2068965517	0.1475409836	NA	NA	NA	28	1.5	-8	0.9778118201	0.002928773184	9.81965464e-06	0.3492063492	0.01117818019	0.06920634921	NA	NA	NA	0.3875	-0.007236842105	0.02083333333	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
